time	V(v_out)	I(I1)
7.635750000000077e-04	4.975750e+00	3.443500e-01
7.637178571428648e-04	4.975357e+00	3.469214e-01
7.638607142857221e-04	4.974969e+00	3.494929e-01
7.640035714285793e-04	4.974585e+00	3.520643e-01
7.641464285714365e-04	4.974205e+00	3.546357e-01
7.642892857142937e-04	4.973830e+00	3.572071e-01
7.644321428571510e-04	4.973459e+00	3.597786e-01
7.645750000000082e-04	4.973093e+00	3.623500e-01
7.647250000000083e-04	4.972714e+00	3.650500e-01
7.648392857142940e-04	4.972428e+00	3.671071e-01
7.649535714285799e-04	4.972145e+00	3.691643e-01
7.650678571428656e-04	4.971865e+00	3.712214e-01
7.651821428571514e-04	4.971588e+00	3.732786e-01
7.652964285714372e-04	4.971314e+00	3.753357e-01
7.654107142857230e-04	4.971042e+00	3.773928e-01
7.655250000000088e-04	4.970774e+00	3.794500e-01
7.656392857142945e-04	4.970509e+00	3.815071e-01
7.657535714285803e-04	4.970247e+00	3.835643e-01
7.658678571428661e-04	4.969988e+00	3.856214e-01
7.659821428571519e-04	4.969731e+00	3.876786e-01
7.660964285714376e-04	4.969478e+00	3.897357e-01
7.662107142857235e-04	4.969229e+00	3.917929e-01
7.663250000000092e-04	4.968982e+00	3.938500e-01
7.663750000000092e-04	4.968875e+00	3.947500e-01
7.665607142857237e-04	4.968483e+00	3.980929e-01
7.667464285714380e-04	4.968100e+00	4.014357e-01
7.669321428571524e-04	4.967725e+00	4.047786e-01
7.671178571428668e-04	4.967359e+00	4.081214e-01
7.673035714285812e-04	4.967001e+00	4.114643e-01
7.674892857142955e-04	4.966651e+00	4.148071e-01
7.676750000000100e-04	4.966310e+00	4.181500e-01
7.678535714285815e-04	4.965990e+00	4.213643e-01
7.680321428571531e-04	4.965678e+00	4.245786e-01
7.682107142857246e-04	4.965373e+00	4.277929e-01
7.683892857142960e-04	4.965076e+00	4.310072e-01
7.685678571428676e-04	4.964787e+00	4.342214e-01
7.687464285714391e-04	4.964505e+00	4.374357e-01
7.689250000000107e-04	4.964231e+00	4.406500e-01
7.691321428571537e-04	4.963922e+00	4.443786e-01
7.693392857142966e-04	4.963622e+00	4.481071e-01
7.695464285714396e-04	4.963332e+00	4.518357e-01
7.697535714285825e-04	4.963051e+00	4.555643e-01
7.699607142857255e-04	4.962780e+00	4.592929e-01
7.701678571428684e-04	4.962517e+00	4.630214e-01
7.703750000000114e-04	4.962265e+00	4.667500e-01
7.706035714285830e-04	4.961996e+00	4.708643e-01
7.708321428571545e-04	4.961737e+00	4.749786e-01
7.710607142857261e-04	4.961488e+00	4.790929e-01
7.712892857142976e-04	4.961250e+00	4.832071e-01
7.715178571428692e-04	4.961021e+00	4.873214e-01
7.717464285714407e-04	4.960802e+00	4.914357e-01
